DATAFLOW,LAST UPDATE,freq,unit,frequenc,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,CY,2019,31.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,CZ,2019,26.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,DE,2019,25.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,DK,2019,28.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,EE,2019,29.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,EL,2019,27.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,ES,2019,18.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,EU27_2020,2019,23.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,FR,2019,23.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,HR,2019,20.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,HU,2019,21.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,IE,2019,23.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,IT,2019,16.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,LT,2019,31.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,LU,2019,22.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,LV,2019,31.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,MT,2019,18.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,NL,2019,11.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,PL,2019,30.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,PT,2019,15.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,RO,2019,28.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,SE,2019,26.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,SI,2019,25.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,MTH,T,TOTAL,NAT,SK,2019,25.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,AT,2019,17.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,BE,2019,21.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,BG,2019,29.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,CY,2019,27.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,CZ,2019,15.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,DE,2019,20.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,DK,2019,8.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,EE,2019,21.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,EL,2019,28.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,ES,2019,32.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,EU27_2020,2019,25.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,FR,2019,20.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,HR,2019,38.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,HU,2019,29.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,IE,2019,21.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,IT,2019,33.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,LT,2019,28.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,LU,2019,14.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,LV,2019,27.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,MT,2019,32.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,NL,2019,21.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,PL,2019,26.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,PT,2019,30.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,RO,2019,30.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,SE,2019,17.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,SI,2019,25.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR_NM12,T,TOTAL,NAT,SK,2019,28.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,AT,2019,35.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,BE,2019,41.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,BG,2019,23.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,CY,2019,16.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,CZ,2019,33.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,DE,2019,32.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,DK,2019,40.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,EE,2019,22.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,EL,2019,25.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,ES,2019,23.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,EU27_2020,2019,29.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,FR,2019,35.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,HR,2019,18.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,HU,2019,19.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,IE,2019,40.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,IT,2019,29.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,LT,2019,12.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,LU,2019,44.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,LV,2019,12.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,MT,2019,27.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,NL,2019,47.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,PL,2019,16.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,PT,2019,21.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,RO,2019,19.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,SE,2019,37.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,SI,2019,24.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,SK,2019,19.3,
